NAME                                IMAGE                                       COMMAND                  SERVICE           CREATED              STATUS                        PORTS
sonnetdb-parity-clickhouse-1        clickhouse/clickhouse-server:24.8           "/entrypoint.sh"         clickhouse        About a minute ago   Up About a minute (healthy)   9000/tcp, 9009/tcp, 0.0.0.0:28123->8123/tcp, [::]:28123->8123/tcp
sonnetdb-parity-influxdb-1          influxdb:2.7                                "/entrypoint.sh infl…"   influxdb          About a minute ago   Up About a minute (healthy)   0.0.0.0:28086->8086/tcp, [::]:28086->8086/tcp
sonnetdb-parity-meilisearch-1       getmeili/meilisearch:v1.10                  "tini -- /bin/sh -c …"   meilisearch       About a minute ago   Up About a minute (healthy)   0.0.0.0:27700->7700/tcp, [::]:27700->7700/tcp
sonnetdb-parity-minio-1             minio/minio:RELEASE.2024-09-22T00-33-43Z    "/usr/bin/docker-ent…"   minio             About a minute ago   Up About a minute (healthy)   0.0.0.0:25000->9000/tcp, [::]:25000->9000/tcp, 0.0.0.0:25090->9001/tcp, [::]:25090->9001/tcp
sonnetdb-parity-mongodb-1           mongo:8.0.12                                "docker-entrypoint.s…"   mongodb           About a minute ago   Up About a minute (healthy)   0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp
sonnetdb-parity-mosquitto-1         eclipse-mosquitto:2.0                       "/docker-entrypoint.…"   mosquitto         About a minute ago   Up About a minute (healthy)   0.0.0.0:21883->1883/tcp, [::]:21883->1883/tcp
sonnetdb-parity-nats-1              nats:2.10                                   "/nats-server -js -m…"   nats              About a minute ago   Up About a minute             6222/tcp, 0.0.0.0:24222->4222/tcp, [::]:24222->4222/tcp, 0.0.0.0:28222->8222/tcp, [::]:28222->8222/tcp
sonnetdb-parity-postgres-1          postgres:16.4                               "docker-entrypoint.s…"   postgres          About a minute ago   Up About a minute (healthy)   0.0.0.0:25432->5432/tcp, [::]:25432->5432/tcp
sonnetdb-parity-qdrant-1            qdrant/qdrant:v1.11.5                       "./entrypoint.sh"        qdrant            About a minute ago   Up About a minute (healthy)   0.0.0.0:26333->6333/tcp, [::]:26333->6333/tcp, 0.0.0.0:26334->6334/tcp, [::]:26334->6334/tcp
sonnetdb-parity-redis-1             redis:7.4                                   "docker-entrypoint.s…"   redis             About a minute ago   Up About a minute (healthy)   0.0.0.0:26379->6379/tcp, [::]:26379->6379/tcp
sonnetdb-parity-sonnetdb-1          iotsharp/sonnetdb:parity                    "dotnet SonnetDB.dll"    sonnetdb          About a minute ago   Up About a minute (healthy)   0.0.0.0:25080->5080/tcp, [::]:25080->5080/tcp
sonnetdb-parity-victoriametrics-1   victoriametrics/victoria-metrics:v1.106.1   "/victoria-metrics-p…"   victoriametrics   About a minute ago   Up About a minute             0.0.0.0:28428->8428/tcp, [::]:28428->8428/tcp
